DealerCode,Date,% Customer Pay Service,Current Ratio,Days Supply - New Vehicle,Days of Inventory (Parts),Dealer Loyalty,Dealer Service Retention,F&I New Car Gross PNVR,Floorplan Expense PNVR,KSI R3,F&I Penetration,Service Sales per Advisor,N.V. Sales per Sales Consultants,Net Profit (Loss) before taxes – current month,Net Profit BBIT % Sales (ROS),Parts to Labor Ratio,Rent Expense PVR,SEI R3,Total Advertising Expenses PVR,Total Dealership Expenses - PVR,Used F&I per retail unit,Used to New Ratio,VolumnGrp,operationaldate,TerminationDate,Is the Dealer at Risk?
Dealer2,1/12/2018,26.61,0.89,173.33,61.97,57.04,44.09,591.19,424.24,954,122.22,19056,3.38,9709,0.31,0.63,333.73,943.16,666.64,3717.6,398.05,1.1,VG-6,8/28/2001,,No
Dealer2,1/1/2019,33.86,0.88,187.5,56,55.24,44.09,635.13,1017.73,964.2,125,20349.5,3,-87148,-3.13,0.89,322.09,933.33,468.29,4213.38,408.55,1.68,VG-6,8/28/2001,,Yes
Dealer2,1/2/2019,34.95,0.87,193.64,54.06,55.63,43.6,491.32,1435.15,958.8,154.55,17669.5,2.75,-65823,-2.53,0.75,333.73,930,487.31,4200.78,433.64,1.79,VG-6,8/28/2001,,Yes
Dealer2,1/3/2019,33.41,0.85,154.84,54,54.25,43.57,1539.03,978.02,956.3,254.84,21333,3.88,72525,1.96,0.69,258.88,947.11,589.61,3490.32,707.78,1.43,VG-6,8/28/2001,,Yes
Dealer2,1/4/2019,37.09,0.85,84.47,50.53,54.42,44.34,603.92,530.54,943.1,94.74,21768,4.75,70433,1.77,0.91,268.93,950,580.92,3505.63,603.35,1.14,VG-6,8/28/2001,,Yes
Dealer2,1/5/2019,38.47,1.1,84.55,44.84,55.41,43.1,727.58,553.48,932.9,93.94,24287.5,4.13,66967,1.83,0.74,271.57,946.88,503.97,3525.03,345.36,1.23,VG-6,8/28/2001,,No
Dealer2,1/6/2019,29.47,1.12,76.76,48.97,52.86,43.17,779.06,555.86,928,132.35,20312,4.25,60693,1.96,0.81,285.57,943.98,605.12,3670.6,564.06,1.29,VG-6,8/28/2001,,No
Dealer2,1/7/2019,33.78,1.13,92.57,57.01,53.47,42.63,451.8,119.88,950.4,114.29,18352,4.38,78243,2.26,0.85,271.57,936.27,568.71,3530.64,609.78,1.4,VG-6,8/28/2001,,No
Dealer2,1/8/2019,30.9,1.13,58.09,46.58,52.29,42.29,985.91,-104.87,974,125.53,23191,5.88,179871,4.39,0.79,242.98,936.73,518.08,3012.54,463.16,1,VG-6,8/28/2001,,No
Dealer2,1/9/2019,39.49,1.04,95,56.11,51.92,42.29,1945.6,-87.94,970.9,223.33,18296.5,3.75,113099,3.03,0.81,314.77,933.41,486.02,3218.9,413.12,1.23,VG-6,8/28/2001,,No
Dealer2,1/10/2019,32.87,1.04,113.57,42.63,51.85,42.29,1250.75,510.02,947.5,164.29,24705.5,3.5,34378,1.02,1.09,314.77,933.8,731.08,4306.58,598.1,1.46,VG-6,8/28/2001,,No
Dealer2,1/11/2019,35.74,1.05,70.98,60.55,51.27,40.9,1561.88,235.58,943,168.29,18296.5,5.13,77900,2.57,1.01,322.09,933.66,549.71,3800.23,489.4,0.79,VG-6,8/28/2001,,No
Dealer2,1/12/2019,33.68,1.04,68.33,82.23,49.69,40.92,1553.75,118.98,947.5,180.56,18665,4.5,56302,1.42,0.74,350.63,934.5,648.47,3851.45,708.21,0.68,VG-6,8/28/2001,,No
Dealer2,1/1/2020,38.18,1.02,113.18,77.16,50,40.74,1536.64,407.13,941.7,200,19574,2.75,-15268,-0.63,0.87,364.47,985,694.95,4804.67,635.72,1.74,VG-6,8/28/2001,,Yes
Dealer2,1/2/2020,39.42,1.03,90.97,91.33,50.59,40.34,1171.48,-14.65,914.6,235.48,16865,3.88,55647,1.81,0.7,285.57,970.71,575.34,3529.33,460,1.65,VG-6,8/28/2001,,No
Dealer2,1/3/2020,31.27,1.03,105.48,67.31,50.6,40.24,1457.61,-110.07,904,148.39,18194,3.88,71894,2.21,0.64,395.71,945.22,708.36,3918.6,456.13,0.7,VG-6,8/28/2001,,No
Dealer3,1/1/2018,32.35,1.29,113.71,48.81,56.37,46.6,1697.13,458.48,865.2,162.9,19996,6.2,32276,1.41,1.19,567.26,958.1,513.58,4193.79,1342.52,0.9,VG-4,6/29/1999,,No
Dealer3,1/2/2018,32.87,1.31,113.11,66.78,56.41,48.16,1591.56,419.36,853.6,168.85,17974.25,6.1,90782,2.61,0.99,407.78,965.2,379.83,3177.63,1368.54,1.51,VG-4,6/29/1999,,No
Dealer3,1/3/2018,36.32,1.35,76.3,51.03,57.08,47.52,1604.74,334.83,858,174.07,22618.5,7.36,192308,4.6,1.19,378.99,959.8,393.9,3313.17,1312.18,1.07,VG-4,6/29/1999,,No
Dealer3,1/4/2018,34.39,1.33,75.19,53.61,56.92,47.37,1166.67,428.89,851.4,149.37,22252.75,7.9,106670,3.13,1.15,446.53,967.5,465.95,3470.1,1179.31,0.81,VG-4,6/29/1999,,No
Dealer3,1/5/2018,33.03,1.39,52.16,45.95,56.14,44.99,1511.5,301.91,866.6,167.57,23992.75,8.54,279944,5.61,1.19,325.97,,307.37,2937.06,1383.73,0.83,VG-4,6/29/1999,,No
Dealer3,1/6/2018,34.71,1.22,78.38,55.7,56.35,44.67,1364.41,448.3,862.4,157.5,23182.75,7.27,62795,1.9,1.04,408.6,,407.28,3313.24,1236.3,0.83,VG-4,6/29/1999,,No
Dealer3,1/7/2018,36.83,1.2,106.84,55.01,56.61,44.55,1267.04,689.05,858.2,147.37,20534.75,5.18,9197,0.56,1.21,396.96,,401.66,3288.11,1152.64,1.67,VG-4,6/29/1999,,No
Dealer3,1/8/2018,31.6,1.26,82.6,51.15,58.65,44.56,1504.43,489.74,860.7,155.84,30779.67,11,69705,2.13,1.09,446.17,,351.39,3191.14,1122.31,0.96,VG-4,6/29/1999,,No
Dealer3,1/9/2018,32.4,1.2,98.06,48.58,57.32,44.56,1375.06,580.19,856.7,182.09,26701.33,9.57,40168,1.48,1.15,500.72,0,416.32,3631.81,1199.98,0.88,VG-4,6/29/1999,,No
Dealer3,1/10/2018,34.61,1.24,88.44,28.91,57.66,44.52,1373.12,561.47,867.3,153.25,23508.75,12.83,147074,3.27,1.09,363.92,0,377.05,3207.28,1353.57,1.31,VG-4,6/29/1999,,No
Dealer3,1/11/2018,34.29,1.28,135.29,56.11,57.91,44.08,1499.59,884.35,873.5,178.43,21391.5,7.29,93822,2.81,1.07,489.37,0,413.52,3957.75,1509.81,1.63,VG-4,6/29/1999,,No
Dealer3,1/12/2018,29.07,1.21,138.33,54.4,58.07,43.45,1487.44,907.5,881.8,150,19611.75,6.75,104352,2.95,1.08,441.38,911.33,200.75,3636.28,1537.44,1.69,VG-4,6/29/1999,,No
Dealer3,1/1/2019,28.03,1.2,201.75,41.61,57.41,43.29,1283.95,816.85,881.1,157.5,24816,5,104256,2.97,1.44,441.96,883.33,292.54,3641.89,1691.45,2.43,VG-4,6/29/1999,,No
Dealer3,1/2/2019,33.16,1.2,192,60.25,57.29,43.23,1342.11,1109.69,869.8,155.56,25814,5,100536,2.85,0.93,426.24,851.25,471.77,3836.15,1684.73,2.2,VG-4,6/29/1999,,No
Dealer3,1/3/2019,32.22,1.27,94.02,53.07,53.75,42.82,1687.22,593.05,880.9,150,21382.75,11.71,286060,5.56,0.98,293.13,905,412.11,3034.59,1412.5,1.56,VG-4,6/29/1999,,No
Dealer3,1/4/2019,34.25,1.3,117.78,50.42,51.89,43.05,1853.65,823.7,876.7,157.41,24255.25,6.75,160949,3.95,0.88,367.03,889.33,453.94,3588,1462.37,2.13,VG-4,6/29/1999,,No
Dealer3,1/5/2019,27.97,1.27,65.76,57.78,51.62,42.9,2146.8,314.05,830.3,170.71,18730.4,12.38,367735,6.58,0.86,299.56,875.48,548.4,3580.84,1287.57,1.08,VG-4,6/29/1999,,No
Dealer3,1/6/2019,23.17,1.17,136.2,46,51.32,43.53,1643.38,261.58,799.3,150,21395.4,5.56,193797,4.9,0.9,367.59,877.22,495.13,3635.28,1644.69,2.32,VG-4,6/29/1999,,No
Dealer3,1/7/2019,29.79,1.19,122.83,54.67,52.16,42.61,1412.19,689.28,759,158.49,18820.2,5.89,145249,4.25,0.74,445.16,878.16,525.56,3697.66,1419.27,1.68,VG-4,6/29/1999,,No
Dealer3,1/8/2019,25.31,1.29,95.42,33.63,50.25,43.72,1788.99,368.11,784.6,169.44,19133.67,9,190354,4.2,0.82,363.34,875.59,343.36,3281.99,1460.17,1.51,VG-4,6/29/1999,,No
Dealer3,1/9/2019,27.86,1.16,68.82,40.6,51.01,43.72,1925.8,122.11,787.3,164.71,16401.67,8.5,173359,3.93,1.17,408.07,879.52,471.21,3455.21,1627.14,0.93,VG-4,6/29/1999,,No
Dealer3,1/10/2019,34.48,1.16,90.5,46.44,50.39,43.72,1793.98,393.57,807.1,165,17662.5,6.67,199824,4.94,0.84,459.17,885.8,454.25,3533.3,1687.31,1.52,VG-4,6/29/1999,,No
Dealer3,1/11/2019,29.47,1.25,89.53,43.12,51.41,41.59,1915.98,187.78,819.5,170.31,16405,8,127560,3.35,0.94,387.7,879.12,594.66,2986.22,1534.84,1.48,VG-4,6/29/1999,,No
Dealer3,1/12/2019,26.47,1.21,60.38,45.13,52.39,41.73,1750.37,161.81,826.5,158.23,15319.33,8.78,200253,4.47,1.02,373,882.84,577.28,3260.39,1460.03,1.2,VG-4,6/29/1999,,No
Dealer3,1/1/2020,25.97,1.2,91.09,32.34,52.32,41.33,2086.84,401.64,856.7,169.09,19617,6.88,244528,5.92,0.95,445.09,907.5,468.91,3908.78,1562.46,1.58,VG-4,6/29/1999,,No
Dealer3,1/2/2020,18.72,1.23,85.26,34.72,52.56,42.65,2057.76,122.51,874.7,157.89,14889.71,8.44,275741,5.67,1,364.84,910,397.81,3013.41,1567.82,1.36,VG-4,6/29/1999,,No
Dealer3,1/3/2020,17.28,1.28,70.67,28.79,54.45,42.2,2098.02,-50.46,868.4,173.33,18907.57,11.25,377815,7.29,0.86,376,936.45,555.24,2946.14,1794.06,0.94,VG-4,6/29/1999,,No
Dealer4,1/1/2018,41.8,1.11,153,8.82,46.88,36,1268.7,679,872.4,140,32323,10,13212,1.71,0.58,71.24,970,667.21,3091.3,1355.74,2.3,VG-7,12/7/2007,,No
Dealer4,1/2/2018,45.83,0.93,105,21.07,50,35.84,967.75,589.67,893.2,141.67,22373,12,7683,0.81,0.88,330.73,975,542.81,3503.92,1529.28,2.08,VG-7,12/7/2007,,No
Dealer4,1/3/2018,29.5,0.63,78,10.37,48.57,35.1,1428.93,423.33,872.3,86.67,31451,15,26215,3.06,0.95,87.07,975,796.11,3869.15,1177.92,0.8,VG-7,12/7/2007,,No
Dealer4,1/4/2018,38.48,0.65,153,19.76,51.35,35.13,66.7,682.7,801.4,90,31367,1.67,9996,1,0.82,58.73,970,486.93,2559.13,635.6,3,VG-7,12/7/2007,,No
Dealer4,1/5/2018,36.78,1.08,72.63,15.65,51.35,38.07,1470.16,371.89,794.8,131.58,38166,3.17,51558,4.87,0.93,192.29,,377.37,2838.96,977.94,1.74,VG-7,12/7/2007,,No
Dealer4,1/6/2018,23.9,0.98,152.5,14.31,50,37.93,865.08,618.75,825.9,108.33,29671,2,11327,1.2,1.21,69.09,,593.47,3677.59,1460.68,1.83,VG-7,12/7/2007,,No
Dealer4,1/7/2018,48.88,1,86.84,20.08,54.76,37.8,770.32,490.53,862.1,100,21322,3.17,21170,2.41,1.03,58.78,,669.68,2900.83,1116.1,1.11,VG-7,12/7/2007,,No
Dealer4,1/8/2018,36.14,1,100,23.43,54.76,37.13,605.47,605.2,881.6,86.67,18864,15,8466,0.92,0.87,73.41,,924.16,3601.25,1166.53,1.13,VG-7,12/7/2007,,No
Dealer4,1/9/2018,35.66,1.02,88.33,28.42,53.66,36.74,625,292.67,875,144.44,12141,18,6496,0.74,1.18,61.87,0,631.32,3092.74,1192.15,1.11,VG-7,12/7/2007,,No
Dealer4,1/10/2018,41.83,1.05,144,21.4,52.27,36.17,1388,875.8,878.9,150,27363,10,5963,0.74,1.04,83.89,0,717.21,3878,1447.39,1.8,VG-7,12/7/2007,,No
Dealer4,1/11/2018,27.69,1.06,114,23.22,53.33,35.25,1119.73,532.27,884.7,113.33,27318,15,284,0.03,1.01,167.13,0,870.18,3752.5,1357.87,1.53,VG-7,12/7/2007,,No
Dealer4,1/12/2018,15.35,1.02,256.67,22.23,54.55,34.74,772.22,1054.22,853.5,100,34330,9,-29378,-4.08,0.8,93.96,858.4,842.52,5470.04,1231.94,1.78,VG-7,12/7/2007,,No
Dealer4,1/1/2019,35.37,1.03,128,22.2,58.54,34.61,458.47,660.33,738.9,73.33,31723,15,4265,0.46,0.65,113.26,1000,671.09,2994.38,1325.37,1.27,VG-7,12/7/2007,,No
Dealer4,1/2/2019,52.82,1.02,110,45.67,52.5,34.16,1268.33,464.73,722.2,106.67,22650,15,-14837,-2.06,0.89,244.97,985.45,678.37,3859.77,1173,1,VG-7,12/7/2007,,No
Dealer4,1/3/2019,32.03,0.93,52.17,30.72,52.27,33.14,1124.17,256,724.6,73.91,22495,23,31416,2.93,0.96,60.28,961.58,508.44,2494.31,1569.38,0.7,VG-7,12/7/2007,,No
Dealer4,1/4/2019,58.22,0.95,61.67,33.81,47.5,32.82,1203.44,271.17,789.8,88.89,21068,18,10100,0.98,1.1,252.54,964.58,523.72,3029.82,1153.43,1.17,VG-7,12/7/2007,,No
Dealer4,1/5/2019,27.69,0.79,48.33,21.52,47.37,32.5,1216.5,145.28,797.4,111.11,35694,18,21017,1.73,0.98,257.31,958.13,437.17,3486.83,1223,1.67,VG-7,12/7/2007,,No
Dealer4,1/6/2019,25.57,0.8,61.88,26.64,52.78,32.91,1260.06,-26.56,831.6,125,30638,16,26651,2.46,1.5,240.22,943.89,439.98,3449.73,1629.8,1.56,VG-7,12/7/2007,,No
Dealer4,1/7/2019,17.1,0.72,126.67,20.95,51.43,32.68,-121.67,249.33,834,111.11,35357,9,15411,1.65,1.33,328.37,943.68,328.27,3657,879.52,2.33,VG-7,12/7/2007,,No
Dealer4,1/8/2019,42.07,0.73,63.75,37.09,55.56,32.91,535.06,107.19,865.5,106.25,21265,16,164,0.03,0.9,90.35,946.19,696.77,3442.88,969.1,0.63,VG-7,12/7/2007,,No
Dealer4,1/9/2019,45.01,0.8,74.12,23.3,57.14,32.91,1463.06,-91.12,832.3,152.94,28932,17,19802,2.53,1.21,97.96,942.17,732.42,4593.67,1157.71,0.41,VG-7,12/7/2007,,No
Dealer4,1/10/2019,61.51,0.82,113.08,36.11,61.29,32.91,963.31,156.54,855.1,138.46,24960,13,22946,3.03,1.31,90.35,941.85,840.19,4089.08,1878.85,1,VG-7,12/7/2007,,No
Dealer4,1/11/2019,41.22,0.84,84.38,38.73,60,31.98,1453.06,92.69,798.2,131.25,23511,16,10870,1.6,0.82,90.42,936.61,561.88,4943.46,1255.2,0.63,VG-7,12/7/2007,,No
Dealer4,1/12/2019,49.61,0.84,96.92,90.7,65.63,32.87,1317.85,19.92,779.4,115.38,17756,13,8674,1,0.74,71.18,935.25,622.67,3649.52,965.5,1.54,VG-7,12/7/2007,,No
Dealer4,1/1/2020,22.24,0.86,156.43,36.73,62.5,32.21,956.71,226.07,790.6,121.43,19798,14,16661,1.57,0.93,316.69,973.33,179.33,3957.62,1246.24,1.79,,12/7/2007,,No
Dealer4,1/2/2020,38.89,0.87,181.76,29.81,67.65,31.71,1299.94,164.53,858,141.18,26905,8.5,38617,3.65,1.05,121.95,977.14,391.73,3480.78,1304.38,1.41,,12/7/2007,,No
Dealer4,1/3/2020,41.47,0.89,155.45,47.17,69.7,31.48,285.36,289.91,862.1,90.91,16857,0,3262,0.31,0.91,361.11,926.67,198,3856.89,1906.52,2.27,VG-7,12/7/2007,,No
Dealer5,1/1/2018,41.45,0.96,122.07,33.88,43.12,34.4,548.93,-41.37,905,96.55,68936,7.25,74336,2.22,1.11,1181.59,982.8,476.13,5477.55,1623.67,0.45,VG-6,4/22/1998,,No
Dealer5,1/2/2018,37.76,0.97,100.59,31.24,43.33,36.28,742.21,70.35,879.8,91.18,61931,8.5,88431,2.65,0.84,1106.17,976.5,380.97,5504.02,1390.77,0.44,VG-6,4/22/1998,,No
Dealer5,1/3/2018,45.41,1.16,123.21,32.6,41.23,36.23,427.5,210.4,876.4,92.86,60993,7,60108,1.68,0.97,1039.8,981.9,364.58,5033.67,1689.09,0.54,VG-6,4/22/1998,,No
Dealer5,1/4/2018,44.45,1.25,107.27,34.32,41.03,36.56,227.21,97.24,871.9,93.94,63795,8.25,124703,3.45,1.06,945.27,979.2,383.19,5047.77,1852.55,0.57,VG-6,4/22/1998,,No
Dealer5,1/5/2018,38.43,1.25,76.83,30.08,48.36,33.58,786.2,65.94,877.3,95.12,65889,10.25,91153,2.28,0.9,962.78,,258.92,4224.63,1450.08,0.22,VG-6,4/22/1998,,No
Dealer5,1/6/2018,42.9,1.28,69.38,37.25,50.42,33.87,857.15,50.29,865.5,85.42,72788,12,98146,2.7,0.94,852.3,,307.34,4642.21,1137.62,0.28,VG-6,4/22/1998,,No
Dealer5,1/7/2018,37.5,1.31,173.18,38.48,45.76,33.4,510.91,104.94,877.5,86.36,59204,5.5,31366,0.9,1.21,1155.33,,368.46,4866.57,1661.35,0.45,VG-6,4/22/1998,,No
Dealer5,1/8/2018,46.41,1.29,86.84,25.94,46.61,33.99,600.63,65.5,903.3,76.32,72109,9.5,93553,2.18,1.03,838.55,,275.44,4052.84,1297.21,0.36,VG-6,4/22/1998,,No
Dealer5,1/9/2018,42.55,1.33,150,37.1,48.28,33.5,687.29,31.26,904.6,183.33,56368,6,56864,1.55,1.03,1130.22,0,334.24,4490.59,1620.32,0.41,VG-6,4/22/1998,,No
Dealer5,1/10/2018,35.62,1.28,136.55,27.14,47.86,33.09,590.52,10.55,896.9,89.66,72174,7.25,54904,1.68,1.07,1155.33,0,455.8,5259.66,1020.44,0.37,VG-6,4/22/1998,,No
Dealer5,1/11/2018,43.3,1.04,110.63,38.19,48.67,33.07,620.31,48.78,896,93.75,55542,8,-150419,-4.69,0.97,1083.13,0,318.78,4916.73,1646.88,0.34,VG-6,4/22/1998,,No
Dealer5,1/12/2018,37.8,1.04,152.73,42.19,48.62,33.23,678.27,122.37,904,100,52059,5.5,20742,0.67,0.92,1444.17,898.93,409.5,5610.22,1790.29,0.51,VG-6,4/22/1998,,No
Dealer5,1/1/2019,27.47,1.03,160.43,34.15,46.43,33.64,715.65,133.09,906.3,121.74,87768,5.75,35212,1.24,1.18,1209.07,826,451.35,6061.56,1518.3,0.6,VG-6,4/22/1998,,No
